electricity_cost,billing_periods,heated_square_footage,engineered_total_square_footage,heating_degree_days,cooling_degree_days,NUMFRIG,NUMFREEZ,NUMLAPTOP,NUMTABLET,NUMSMPHONE,NUMCFAN,NUMFLOORFAN,NUMWWAC,NUMPORTAC,NUMMEAL,state_postal,BA_climate,IECC_climate_code,KOWNRENT,home_size,num_appliances,temp_hdd,temp_cdd,temp_degree_days,bill_amount,bill_per_period,month_periods,log_bill_amount
3497.17,5,0,5450,1304,4424,3,0,4,2,4,8,1,0.0,0.0,2,AZ,Hot-Dry,2B,1,0,24.0,1304,4424,5728,3497.17,699.434,5,8.159709348978739
1523.05,1,2750,2750,7239,872,1,1,2,0,2,2,0,0.0,0.0,3,MN,Cold,6A,1,2750,11.0,7239,872,8111,1523.05,1523.05,1,7.328470182297178
437.54,5,2700,2700,6689,802,4,2,1,1,3,1,5,0.0,0.0,2,VT,Cold,6A,1,2700,19.0,6689,802,7491,437.54,87.50800000000001,5,6.08116813018976
913.75,1,1600,1600,3137,2158,1,0,3,0,2,3,0,0.0,0.0,3,OK,Mixed-Humid,3A,1,1600,12.0,3137,2158,5295,913.75,913.75,1,6.817557011063989
624.81,1,2250,2250,6112,943,1,0,1,1,1,3,0,0.0,0.0,3,IL,Cold,5A,1,2250,10.0,6112,943,7055,624.81,624.81,1,6.4374476035190344
2579.28,1,3300,3300,3753,1454,1,0,1,1,2,3,2,0.0,0.0,2,VA,Mixed-Humid,4A,1,3300,12.0,3753,1454,5207,2579.28,2579.28,1,7.855265569201007
364.17,1,1700,1700,6690,855,1,0,0,0,0,2,0,1.0,0.0,4,WY,Cold,6B,2,1700,8.0,6690,855,7545,364.17,364.17,1,5.897620791577822
1712.81,1,1950,1950,5356,939,2,1,0,0,0,1,1,2.0,0.0,3,PA,Cold,5A,1,1950,10.0,5356,939,6295,1712.81,1712.81,1,7.4458905756517035
1405.98,1,2000,2000,2148,2515,1,0,3,4,4,6,0,0.0,0.0,3,TX,Hot-Humid,3A,1,2000,21.0,2148,2515,4663,1405.98,1405.98,1,7.24848984751837
1644.89,5,0,2000,5,2987,2,0,0,1,2,1,0,0.0,0.0,4,HI,Hot-Humid,1A,2,0,10.0,5,2987,2992,1644.89,328.978,5,7.405428791662709
1379.96,5,780,780,3599,1129,1,0,1,1,1,0,1,3.0,0.0,3,CA,Hot-Dry,3B,1,780,11.0,3599,1129,4728,1379.96,275.992,5,7.229809792223916
858.5,1,660,820,7088,449,1,0,1,0,0,0,3,0.0,0.0,5,NH,Cold,5A,1,660,10.0,7088,449,7537,858.5,858.5,1,6.7551866803375304
1046.1,1,1400,2100,6329,774,2,0,2,2,4,0,3,0.0,0.0,3,MI,Cold,5A,1,1400,16.0,6329,774,7103,1046.1,1046.1,1,6.952824242349715
2446.33,1,1500,1500,1061,1042,3,2,1,0,5,3,4,1.0,0.0,4,CA,Hot-Dry,3B,1,1500,23.0,1061,1042,2103,2446.33,2446.33,1,7.802344221292566
